# rawpaco: FPC RTL/FCL symbol table
# DO NOT EDIT BY HAND. Regenerate with: bash tools/gen_fpc_symbols.sh
# fpc-version: 3.2.2
# generated-from-target: x86_64-linux
# ppu-root: /usr/lib/x86_64-linux-gnu/fpc/3.2.2/units/x86_64-linux
# source-root: /usr/share/fpcsrc/3.2.2
#
# Format (tab separated):
#   U <unit> <strict|loose>   ... start of a unit block
#   G <name> <D|.> <message>  ... unit-level public symbol (D = deprecated)
#   M <name>                  ... other known name (class member, platform-only, ...)
U	system	loose
G	ALUSInt	.	
G	ALUUInt	.	
G	Abs	.	
G	AbstractError	.	
G	AbstractErrorProc	.	
G	AcquireExceptionObject	.	
G	AddExitProc	.	
G	Addr	.	
G	Align	.	
G	Aligned	.	
G	AllFilesMask	.	
G	AllocMem	.	
G	AllowDirectorySeparators	.	
G	AllowDriveSeparators	.	
G	AnsiChar	.	
G	AnsiString	.	
G	AnsiToUtf8	.	
G	Append	.	
G	ArcTan	.	
G	ArrayStringToPPchar	.	
G	Assert	.	
G	AssertErrorProc	.	
G	Assign	.	
G	Assigned	.	
G	BEtoN	.	
G	BacktraceStrFunc	.	
G	BasicEventCreate	.	
G	BasicEventDestroy	.	
G	BasicEventResetEvent	.	
G	BasicEventSetEvent	.	
G	BasicEventWaitFor	.	
G	BeginThread	.	
G	BinStr	.	
G	BitSizeOf	.	
G	BlockRead	.	
G	BlockWrite	.	
G	Boolean	.	
G	Boolean16	.	
G	Boolean32	.	
G	Boolean64	.	
G	Boolean8	.	
G	Break	.	
G	BsfByte	.	
G	BsfDWord	.	
G	BsfQWord	.	
G	BsfWord	.	
G	BsrByte	.	
G	BsrDWord	.	
G	BsrQWord	.	
G	BsrWord	.	
G	Byte	.	
G	ByteBool	.	
G	CExtended	.	
G	CP_ACP	.	
G	CP_ASCII	.	
G	CP_NONE	.	
G	CP_OEMCP	.	
G	CP_UTF16	.	
G	CP_UTF16BE	.	
G	CP_UTF7	.	
G	CP_UTF8	.	
G	CSeg	.	
G	CaptureBacktrace	.	
G	Cardinal	.	
G	CatchAllExceptions	.	
G	ChDir	.	
G	Char	.	
G	Chr	.	
G	Close	.	
G	CloseThread	.	
G	CodePointer	.	
G	CodePtrInt	.	
G	CodePtrUInt	.	
G	Comp	.	
G	CompareByte	.	
G	CompareChar	.	
G	CompareChar0	.	
G	CompareDWord	.	
G	CompareWord	.	
G	Concat	.	
G	Continue	.	
G	Copy	.	
G	CopyArray	.	
G	Cos	.	
G	CtrlZMarksEOF	.	
G	Currency	.	
G	Cycle	.	
G	DSeg	.	
G	DWord	.	
G	Dec	.	
G	Default	.	
G	Default8087CW	.	
G	DefaultAnsi2UnicodeMove	.	
G	DefaultFileSystemCodePage	.	
G	DefaultMXCSR	.	
G	DefaultRTLFileSystemCodePage	.	
G	DefaultStackSize	.	
G	DefaultSystemCodePage	.	
G	DefaultTextLineBreakStyle	.	
G	DefaultUnicode2AnsiMove	.	
G	DefaultUnicodeCodePage	.	
G	Delete	.	
G	DirectorySeparator	.	
G	DispCallByIDProc	.	
G	Dispose	.	
G	DoneCriticalSection	.	
G	DoneThread	.	
G	Double	.	
G	DriveSeparator	.	
G	DumpExceptionBacktrace	.	
G	Dump_Stack	.	
G	DynArrayBounds	.	
G	DynArrayClear	.	
G	DynArrayDim	.	
G	DynArrayIndex	.	
G	DynArraySetLength	.	
G	DynArraySize	.	
G	EOF	.	
G	EOLn	.	
G	E_NOINTERFACE	.	
G	E_NOTIMPL	.	
G	E_UNEXPECTED	.	
G	EmptyMethod	.	
G	EndThread	.	
G	EnterCriticalSection	.	
G	EnumResLangProc	.	
G	EnumResNameProc	.	
G	EnumResTypeProc	.	
G	EnumResourceLanguages	.	
G	EnumResourceNames	.	
G	EnumResourceTypes	.	
G	Erase	.	
G	ErrOutput	.	
G	Error	.	
G	ErrorAddr	.	
G	ErrorCode	.	
G	ErrorProc	.	
G	ExceptClsProc	.	
G	ExceptObjProc	.	
G	ExceptProc	.	
G	Exclude	.	
G	Exit	.	
G	ExitCode	.	
G	ExitProc	.	
G	Exp	.	
G	Extended	.	
G	ExtensionSeparator	.	
G	FMADouble	.	
G	FMAExtended	.	
G	FMASingle	.	
G	FPC_EXCEPTION	.	
G	FPower10	.	
G	False	.	
G	FarPointer	.	
G	FileMode	.	
G	FileNameCasePreserving	.	
G	FileNameCaseSensitive	.	
G	FilePos	.	
G	FileRec	.	
G	FileSize	.	
G	FillByte	.	
G	FillChar	.	
G	FillDWord	.	
G	FillQWord	.	
G	FillWord	.	
G	Finalize	.	
G	FinalizeArray	.	
G	FindResource	.	
G	FindResourceEx	.	
G	FirstDotAtFileNameStartIsExtension	.	
G	Flush	.	
G	FlushThread	.	
G	Frac	.	
G	FreeLibrary	.	
G	FreeResource	.	
G	Freemem	.	
G	Freememory	.	
G	Get8087CW	.	
G	GetCPUCount	.	
G	GetCurrentThreadId	.	
G	GetDir	.	
G	GetDynLibsManager	.	
G	GetFPCHeapStatus	.	
G	GetHeapStatus	.	
G	GetLoadErrorStr	.	
G	GetMXCSR	.	
G	GetMemoryManager	.	
G	GetProcAddress	.	
G	GetProcedureAddress	.	
G	GetProcessID	.	
G	GetResourceManager	.	
G	GetSSECSR	D	Renamed to GetMXCSR
G	GetTextCodePage	.	
G	GetThreadID	.	
G	GetThreadManager	.	
G	GetTypeKind	.	
G	GetUnicodeStringManager	.	
G	GetVariantManager	.	
G	GetWideStringManager	.	
G	Get_Frame	.	
G	Get_pc_addr	.	
G	Getmem	.	
G	Getmemory	.	
G	HGLOBAL	.	
G	HINSTANCE	.	
G	HMODULE	.	
G	HRESULT	.	
G	Halt	.	
G	HexStr	.	
G	Hi	.	
G	High	.	
G	IDispatch	.	
G	IEnumerable	.	
G	IEnumerator	.	
G	IInterface	.	
G	IInvokable	.	
G	IOResult	.	
G	IObjectInstance	.	
G	IUnknown	.	
G	InOutRes	.	
G	Inc	.	
G	Include	.	
G	IndexByte	.	
G	IndexChar	.	
G	IndexChar0	.	
G	IndexDWord	.	
G	IndexQWord	.	
G	Indexword	.	
G	InitCriticalSection	.	
G	InitProc	.	
G	InitThread	.	
G	InitThreadVars	.	
G	Initialize	.	
G	InitializeArray	.	
G	Input	.	
G	Insert	.	
G	Int	.	
G	Int16	.	
G	Int32	.	
G	Int64	.	
G	Int8	.	
G	IntPtr	.	
G	Integer	.	
G	IntegerArray	.	
G	InterlockedCompareExchange	.	
G	InterlockedCompareExchange64	.	
G	InterlockedCompareExchangePointer	.	
G	InterlockedDecrement	.	
G	InterlockedDecrement64	.	
G	InterlockedExchange	.	
G	InterlockedExchange64	.	
G	InterlockedExchangeAdd	.	
G	InterlockedExchangeAdd64	.	
G	InterlockedIncrement	.	
G	InterlockedIncrement64	.	
G	IsConsole	.	
G	IsDynArrayRectangular	.	
G	IsLibrary	.	
G	IsManagedType	.	
G	IsMemoryManagerSet	.	
G	IsMultiThread	.	
G	Is_IntResource	.	
G	KillThread	.	
G	LEtoN	.	
G	LFNSupport	.	
G	Leave	.	
G	LeaveCriticalSection	.	
G	Length	.	
G	LineEnding	.	
G	Ln	.	
G	Lo	.	
G	LoadLibrary	.	
G	LoadResource	.	
G	LockResource	.	
G	LongBool	.	
G	LongInt	.	
G	LongWord	.	
G	Low	.	
G	LowerCase	.	
G	MAKEINTRESOURCE	.	
G	MakeLangID	.	
G	MarshaledAString	.	
G	MarshaledString	.	
G	MaxInt	.	
G	MaxKeptOSChunks	.	
G	MaxLongint	.	
G	MaxPathLen	.	
G	MaxSIntValue	.	
G	MaxSmallint	.	
G	MaxUIntValue	.	
G	Max_Frame_Dump	.	
G	MemSize	.	
G	MkDir	.	
G	ModuleIsCpp	.	
G	ModuleIsLib	.	
G	ModuleIsPackage	.	
G	Move	.	
G	MoveChar0	.	
G	NativeInt	.	
G	NativeUInt	.	
G	NearCsPointer	.	
G	NearDsPointer	.	
G	NearEsPointer	.	
G	NearFsPointer	.	
G	NearGsPointer	.	
G	NearPointer	.	
G	NearSsPointer	.	
G	New	.	
G	NilHandle	.	
G	NoErrMsg	.	
G	NtoBE	.	
G	NtoLE	.	
G	Null	.	
G	ObjCEncode	.	
G	ObjCSelector	.	
